--------- beginning of /dev/log/system
01-01 00:00:10.639 I/Vold    (  104): Vold 2.1 (the revenge) firing up
01-01 00:00:10.649 D/Vold    (  104): Volume sdcard1 state changing -1 (Initializing) -> 0 (No-Media)
01-01 00:00:10.649 D/Vold    (  104): Volume usbdisk state changing -1 (Initializing) -> 0 (No-Media)
01-01 00:00:20.149 I/SystemServer(  491): Entered the Android system server!
01-01 00:00:22.249 I/SystemServer(  491): Waiting for installd to be ready.
01-01 00:00:22.249 I/Installer(  491): connecting...
01-01 00:00:22.249 I/SystemServer(  491): Enabled StrictMode logging for WM Looper
01-01 00:00:22.259 I/SystemServer(  491): Power Manager
01-01 00:00:22.259 I/SystemServer(  491): Activity Manager
01-01 00:00:22.279 I/ActivityManager(  491): Memory class: 96
01-01 00:00:22.429 I/UiThread(  491): Enabled StrictMode logging for UI thread
01-01 00:00:22.449 I/IntentFirewall(  491): Read new rules (A:0 B:0 S:0)
01-01 00:00:22.449 I/SystemServer(  491): Display Manager
01-01 00:00:22.449 I/ActivityManager(  491): Enabled StrictMode logging for AThread's Looper
01-01 00:00:22.459 I/SystemServer(  491): Telephony Registry
01-01 00:00:22.459 I/SystemServer(  491): Telephony Registry2
01-01 00:00:22.459 I/DisplayManagerService(  491): Display device added: DisplayDeviceInfo{"Built-in Screen": 600 x 1024, 60.000004 fps, density 240, 169.0 x 169.0 dpi, touch INTERNAL, rotation 0, type BUILT_IN, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS}
01-01 00:00:22.459 I/SystemServer(  491): Scheduling Policy
01-01 00:00:22.459 I/SystemServer(  491): Package Manager
01-01 00:00:22.569 D/SELinuxMMAC(  491): Couldn't find install policy /data/security/mac_permissions.xml
01-01 00:00:22.569 D/SELinuxMMAC(  491): Using install policy file /system/etc/security/mac_permissions.xml
01-01 00:00:23.129 W/PackageParser(  491): No actions in intent filter at /system/priv-app/Contacts.apk Binary XML file line #377
01-01 00:00:23.189 W/PackageParser(  491): No actions in intent filter at /system/priv-app/Dialer.apk Binary XML file line #165
01-01 00:00:24.139 W/PackageParser(  491): No actions in intent filter at /system/priv-app/SetupWizard.apk Binary XML file line #117
01-01 00:00:24.699 W/PackageParser(  491): No actions in intent filter at /system/app/Bluetooth.apk Binary XML file line #212
01-01 00:00:25.349 W/PackageParser(  491): Unknown element under <application>: permission at /system/app/GalleryGoogle.apk Binary XML file line #255
01-01 00:00:25.349 W/PackageParser(  491): Unknown element under <application>: permission at /system/app/GalleryGoogle.apk Binary XML file line #258
01-01 00:00:27.939 W/PackageManager(  491): Package com.google.android.gms desires unavailable shared library com.google.android.ble; ignoring!
01-01 00:00:27.939 W/PackageManager(  491): Package com.google.android.videos desires unavailable shared library com.google.widevine.software.drm; ignoring!
